,Grid_X,Grid_Y,Density
6284,63.0,85.0,0.0
6285,63.0,86.0,0.0
6286,63.0,87.0,0.0
6287,63.0,88.0,0.0
6288,63.0,89.0,0.0
6289,63.0,90.0,0.0
6290,63.0,91.0,0.0
6291,63.0,92.0,0.0
6292,63.0,93.0,0.0
6293,63.0,94.0,0.0
6294,63.0,95.0,0.0
6295,63.0,96.0,0.0
6296,63.0,97.0,0.0
6297,63.0,98.0,0.0
6298,63.0,99.0,0.0
6299,63.0,100.0,0.0
6300,64.0,1.0,0.0
6301,64.0,2.0,0.0
6302,64.0,3.0,0.0
6303,64.0,4.0,0.0
6304,64.0,5.0,0.0
6305,64.0,6.0,0.0
6306,64.0,7.0,0.0
6307,64.0,8.0,0.0
6308,64.0,9.0,0.0
6309,64.0,10.0,0.0
6310,64.0,11.0,0.0
6311,64.0,12.0,0.0
6312,64.0,13.0,0.0
6313,64.0,14.0,0.0
6314,64.0,15.0,0.0
6315,64.0,16.0,0.0
6316,64.0,17.0,0.0
6317,64.0,18.0,0.0
6318,64.0,19.0,0.0
6319,64.0,20.0,0.0
6320,64.0,21.0,0.0
6321,64.0,22.0,0.0
6322,64.0,23.0,0.0
6323,64.0,24.0,0.0
6324,64.0,25.0,0.0
6325,64.0,26.0,0.0
6326,64.0,27.0,0.0
6327,64.0,28.0,0.0
6328,64.0,29.0,0.0
6329,64.0,30.0,0.0
6330,64.0,31.0,0.0
6331,64.0,32.0,
6332,64.0,33.0,
6333,64.0,34.0,
6334,64.0,35.0,0.0
6335,64.0,36.0,
6336,64.0,37.0,0.0
